"ID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACCOUNT_VOD__C","ADDRESS_LINE_2_VOD__C","CITY_VOD__C","EXTERNAL_ID_VOD__C","DEA_VOD__C","DEA_EXPIRATION_DATE_VOD__C","DEA_LICENSE_ADDRESS_VOD__C","PHONE_VOD__C","FAX_VOD__C","MAP_VOD__C","COMMENT_VOD__C","SHIPPING_VOD__C","PRIMARY_VOD__C","LICENSE_VOD__C","LICENSE_EXPIRATION_DATE_VOD__C","STAFF_NOTES_VOD__C","APPT_REQUIRED_VOD__C","OFFICE_NOTES_VOD__C","LICENSE_STATUS_VOD__C","ZIP_4_VOD__C","PHONE_2_VOD__C","FAX_2_VOD__C","LICENSE_VALID_TO_SAMPLE_VOD__C","SAMPLE_STATUS_VOD__C","INCLUDE_IN_TERRITORY_ASSIGNMENT_VOD__C","MOBILE_ID_VOD__C","INACTIVE_VOD__C","LOCK_VOD__C","COUNTRY_VOD__C","LATITUDE_VOD__C","ZIP_VOD__C","BEST_TIMES_VOD__C","SOURCE_VOD__C","BRICK_VOD__C","ASSMCA_VOD__C","DEA_ADDRESS_VOD__C","DEA_SCHEDULE_VOD__C","BUSINESS_VOD__C","BILLING_VOD__C","HOME_VOD__C","MAILING_VOD__C","STATE_VOD__C","LONGITUDE_VOD__C","DEA_STATUS_VOD__C","ENTITY_REFERENCE_ID_VOD__C","CONTROLLING_ADDRESS_VOD__C","CONTROLLED_ADDRESS_VOD__C","NO_ADDRESS_COPY_VOD__C","ADDRESS_LINE_3_BMS__C","ADDRESS_SOURCE_COUNTRY_BMS_CORE__C","ADDRESS_STATUS_BMS_CORE__C","ADDRESS_TYPE_BMS_CORE__C","CONTACT_NAME_BMS_CA__C","STATUS_BMS__C","CONCATENATED_ADDRESS_BMS__C","CONTACT_TITLE_BMS_CA__C","OFFICE_BMS__C","FORM_EXPIRATION_DATE_BMS_SHARED__C","ALLOW_LUNCHEON_BMS__C","FLAGGED_FOR_DELETE_ON_BMS__C","SAMPLE_SEND_STATUS_VOD__C","FORM_FLAG_BMS_SHARED__C","SAMPLE_AUTHORIZATION_CERT_BMS_SHARED__C","SAMPLE_INELIGIBLE_BMS_SHARED__C","SAMPLE_STATUS_REASON_BMS_SHARED__C","ELIGIBILITY_QUESTIONS_UPDATED_DATE_BMS__C","MINI_BRICK_BMS_EMEA__C","CUSTOMER_MASTER_STATUS_VOD__C","CDS_EXPIRATION_DATE_VOD__C","CDS_VOD__C","ARE_25_OF_YOUR_PATIENTS_ADULTS_BMS_US__C","DO_YOU_ACCEPT_SAMPLES_BMS_US__C","DO_YOU_HAVE_INFUSION_CAPABIL_BMS_US__C","LICENSE_EXPIRATION_DATE_BMS_SHARED__C","NETWORK_SAMPLE_ELIGIBILITY_VOD__C","NETWORK_ASSMCA_ENTITY_ID_VOD__C","NETWORK_CDS_ENTITY_ID_VOD__C","NETWORK_DEA_ENTITY_ID_VOD__C","NETWORK_LICENSE_ENTITY_ID_VOD__C","ADDRESS_VISIT_PRESSURE_BMS_EMEA__C","MASTER_ALIGN_ID_VOD__C","ROLE_BMS_EMEA__C","ROLE_FORMULA_BMS_EMEA__C","STATE_BMS_EMEA__C","STATE_FORMULA_BMS_EMEA__C","CDS_STATUS_VOD__C","BUILDING_NAME_BMS_EMEA__C","REGION_BMS_EMEA__C"
"a01580000017VD9AAM","false","Rue de Beausite 49","012d0000000wwgQAAQ","2016-03-18T04:52:22.000Z","005d0000002bfc8AAA","2016-11-30T15:28:12.000Z","005d0000002bfc8AAA","2016-11-30T15:28:12.000Z","true","false","","","00158000003wkezAAA","","Moutier","EU-249657030","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Rue de Beausite 49+Moutier"" target=""_blank"">map</a>","","false","false","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","true","true","CH","","2740","","Manual","2136","","false","","true","false","false","false","Bern","","","","","false","false","","EU","Flag for Delete","","","Flag for Delete","GeorgesKastanidis-Rue de Beausite 49,Moutier,Bern,2740","","true","","false","2016-11-30T15:28:12.000Z","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004Ie3EAE","Bern","","","Moutier"
"a015800000G9CryAAF","false","Rue de Chasseral 20","012d0000000wwgQAAQ","2016-12-03T09:32:44.000Z","005d0000002bfc8AAA","2016-12-03T09:32:53.000Z","005d0000002bfc8AAA","2016-12-03T09:32:53.000Z","true","false","","","00158000003wkezAAA","","La Chaux-de-Fonds","EU-287776068","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Rue de Chasseral 20+La Chaux-de-Fonds"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","2300","","Manual","2075","","false","","true","false","false","false","Neuchâtel","","","","","false","false","","EU","Flag as Active","","","Flag as Active","GeorgesKastanidis-Rue de Chasseral 20,La Chaux-de-Fonds,Neuchâtel,2300","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IeDEAU","Neuchâtel","","","La Chaux-de-Fonds"
"a01580000017TJpAAM","false","Grand-Rue 40","012d0000000wwgQAAQ","2016-03-18T04:49:03.000Z","005d0000002bfc8AAA","2016-09-21T18:17:09.000Z","005d0000002bfc8AAA","2016-09-21T18:17:09.000Z","true","false","","","00158000003wkf0AAA","","Montreux","EU-222138787","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Grand-Rue 40+Montreux"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","1820","","Manual","2050","","false","","true","false","false","false","Vaud","","","","","false","false","","EU","Flag as Active","","","Flag as Active","JacquesLaget-Grand-Rue 40,Montreux,Vaud,1820","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004Ie1EAE","Vaud","","","Montreux"
"a01580000017VIGAA2","false","Ленинградский пр-кт, 76 корп.3","012d0000000wwgQAAQ","2016-03-18T04:52:31.000Z","005d0000002bfc8AAA","2016-09-21T18:17:15.000Z","005d0000002bfc8AAA","2016-09-21T18:17:16.000Z","true","false","","","00158000003wklHAAQ","","Москва г","EU-250276965","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Ленинградский пр-кт, 76 корп.3+Москва г"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","RU","","125315","","Manual","19D21","","false","","true","false","false","false","Москва","","","","","false","false","","EU","Flag as Active","","","Flag as Active","ПавелКопылов-Ленинградский пр-кт, 76 корп.3,Москва г,Москва,125315","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004KWdEAM","Москва","","","Москва"
"a01580000017WtTAAU","false","Avenue Jean-Daniel Maillard 3","012d0000000wwgQAAQ","2016-03-18T04:55:06.000Z","005d0000002bfc8AAA","2016-09-21T18:17:29.000Z","005d0000002bfc8AAA","2016-09-21T18:17:29.000Z","true","false","","","00158000003wkf1AAA","","Meyrin","EU-249437282","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Avenue Jean-Daniel Maillard 3+Meyrin"" target=""_blank"">map</a>","","false","false","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","1217","","Manual","2016","","false","","true","false","false","false","Genève","","","","","false","false","","EU","Flag as Active","","","Flag as Active","CédricLanier-Avenue Jean-Daniel Maillard 3,Meyrin,Genève,1217","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IeBEAU","Genève","","","Meyrin"
"a01580000017WtRAAU","false","Krankenhausstrasse 12","012d0000000wwgQAAQ","2016-03-18T04:55:06.000Z","005d0000002bfc8AAA","2016-09-21T18:17:29.000Z","005d0000002bfc8AAA","2016-09-21T18:17:29.000Z","true","false","","","00158000003wkl3AAA","","Thun","EU-249437483","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Krankenhausstrasse 12+Thun"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","3600","","Manual","2121","","false","","true","false","false","false","Bern","","","","","false","false","","EU","Flag as Active","","","Flag as Active","ThereseRettenmund-Krankenhausstrasse 12,Thun,Bern,3600","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004Ie3EAE","Bern","","","Thun"
"a01580000017TNEAA2","false","Louis Giroudstrasse 20","012d0000000wwgQAAQ","2016-03-18T04:49:11.000Z","005d0000002bfc8AAA","2016-09-21T18:15:42.000Z","005d0000002bfc8AAA","2016-09-21T18:15:43.000Z","true","false","","","00158000003wkf2AAA","","Olten","EU-249898787","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Louis Giroudstrasse 20+Olten"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","4600","","Manual","2141","","false","","true","false","false","false","Solothurn","","","","","false","false","","EU","Flag as Active","","","Flag as Active","SvenMädler-Louis Giroudstrasse 20,Olten,Solothurn,4600","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IdyEAE","Solothurn","","","Olten"
"a01580000017TMdAAM","false","Коминтерна ул., 24","012d0000000wwgQAAQ","2016-03-18T04:49:11.000Z","005d0000002bfc8AAA","2016-09-21T18:15:42.000Z","005d0000002bfc8AAA","2016-09-21T18:15:43.000Z","true","false","","","00158000003wklIAAQ","","Мытищи г","EU-249633325","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Коминтерна ул., 24+Мытищи г"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","RU","","141009","","Manual","52B37","","false","","true","false","false","false","Московская область","","","","","false","false","","EU","Flag as Active","","","Flag as Active","ТатьянаМакаренко-Коминтерна ул., 24,Мытищи г,Московская область,141009","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004KXGEA2","Московская область","","","Мытищи"
"a01580000017TLeAAM","false","Строителей пр-кт, 23","012d0000000wwgQAAQ","2016-03-18T04:49:03.000Z","005d0000002bfc8AAA","2016-09-21T18:15:42.000Z","005d0000002bfc8AAA","2016-09-21T18:15:43.000Z","true","false","","","00158000003wklJAAQ","","Киров г","EU-250277024","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Строителей пр-кт, 23+Киров г"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","RU","","610050","","Manual","95E22","","false","","true","false","false","false","Кировская область","","","","","false","false","","EU","Flag as Active","","","Flag as Active","ЮлияПопова-Строителей пр-кт, 23,Киров г,Кировская область,610050","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004KWREA2","Кировская область","","","Киров"
"a01580000017UgkAAE","false","Route André Piller 16","012d0000000wwgQAAQ","2016-03-18T04:51:28.000Z","005d0000002bfc8AAA","2016-09-21T18:16:46.000Z","005d0000002bfc8AAA","2016-09-21T18:16:46.000Z","true","false","","","00158000003wkf3AAA","","Givisiez","EU-249903659","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Route André Piller 16+Givisiez"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","1762","","Manual","2087","","false","","true","false","false","false","Fribourg","","","","","false","false","","EU","Flag as Active","","","Flag as Active","AlessandraMeris-Route André Piller 16,Givisiez,Fribourg,1762","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IdwEAE","Fribourg","","","Givisiez"
